from_id,to_id,timestep,flow
node_41126,node_41058,1,0.0
node_22544,node_22542,1,0.0
node_29428,node_29429,1,0.0
node_23552,node_25026,1,254.0
node_40963,node_40962,1,0.0
node_35308,node_34422,1,0.0
node_18888,node_18887,1,0.0
super_source,node_6742,1,0.0
super_source,node_40447,1,0.0
node_15615,node_15617,1,2395.0
node_29136,node_29137,1,0.0
node_26117,node_25639,1,265.0
node_2229,node_2230,1,1048.0
node_27026,node_22059,1,0.0
node_42232,node_42231,1,0.0
super_source,node_26928,1,0.0
node_43136,node_43135,1,0.0
super_source,node_9723,1,0.0
super_source,node_18877,1,40.0
super_source,node_32004,1,0.0
node_3215,node_3214,1,0.0
node_5345,node_5344,1,0.0
super_source,node_35238,1,0.0
super_source,node_6536,1,0.0
super_source,node_17154,1,0.0
super_source,node_32554,1,0.0
super_source,node_42124,1,0.0
node_42140,node_42796,1,0.0
super_source,node_15422,1,0.0
node_34981,node_33847,1,498.0
node_43041,node_43043,1,0.0
node_35249,node_35260,1,0.0
super_source,node_947,1,0.0
node_41508,node_41507,1,140.0
node_30877,node_30876,1,0.0
node_9835,node_9836,1,899.0
node_31840,node_31838,1,0.0
super_source,node_26564,1,0.0
node_35368,node_35367,1,0.0
super_source,node_29952,1,0.0
node_1381,node_1383,1,523.0
node_37105,node_37101,1,0.0
super_source,node_13068,1,0.0
node_530,node_531,1,209.0
node_41645,node_42224,1,30649.0
super_source,node_13803,1,0.0
super_source,node_28383,1,0.0
node_19832,node_19802,1,533.0
super_source,node_8868,1,0.0
node_37223,node_37220,1,0.0
node_19287,node_19290,1,68676.0
super_source,node_28821,1,0.0
super_source,node_17459,1,0.0
node_2079,node_2078,1,230837.0
node_22227,node_26612,1,0.0
node_19265,node_19248,1,0.0
node_36082,node_36081,1,0.0
node_29765,node_26812,1,0.0
node_16265,node_16264,1,0.0
super_source,node_21796,1,0.0
node_7610,node_9456,1,0.0
super_source,node_3878,1,0.0
super_source,node_40430,1,0.0
node_20003,node_20008,1,235.0
node_559,node_558,1,0.0
super_source,node_38052,1,0.0
node_13196,node_16317,1,0.0
node_24053,node_24054,1,0.0
node_6024,node_6025,1,20.0
node_36038,node_34509,1,0.0
node_21221,node_21220,1,0.0
node_6376,node_5879,1,0.0
super_source,node_7435,1,0.0
node_18937,node_21512,1,0.0
super_source,node_33182,1,0.0
node_21910,node_25654,1,10101.0
node_35062,node_35063,1,39.0
super_source,node_11753,1,0.0
node_30705,node_30704,1,77.0
node_4772,node_4528,1,374.0
super_source,node_19392,1,0.0
node_40029,node_40028,1,0.0
node_33512,node_33513,1,39852.0
node_4299,node_5377,1,0.0
node_16703,node_10457,1,216.0
node_8737,node_8740,1,0.0
node_12721,node_18186,1,0.0
node_21888,node_21889,1,0.0
super_source,node_16817,1,0.0
super_source,node_6406,1,0.0
node_7652,node_7656,1,663.0
node_30643,node_31025,1,118.0
node_41448,node_41293,1,163.0
node_23526,node_22179,1,221.0
super_source,node_574,1,0.0
super_source,node_6585,1,0.0
super_source,node_21027,1,0.0
super_source,node_31522,1,0.0
super_source,node_38982,1,0.0
super_source,node_25628,1,0.0
node_14656,node_14852,1,1153.0
node_22258,node_22260,1,49.0
super_source,node_23932,1,0.0
super_source,node_18544,1,0.0
node_8634,node_8633,1,0.0
super_source,node_14162,1,0.0
node_1702,node_1703,1,261.0
super_source,node_37587,1,0.0
node_37511,node_37512,1,0.0
super_source,node_41236,1,0.0
super_source,node_42475,1,0.0
node_42231,node_41646,1,0.0
node_15283,node_15287,1,0.0
node_1578,node_1565,1,0.0
node_11668,node_11669,1,34.0
node_20625,node_20624,1,0.0
node_16169,node_15180,1,0.0
node_42151,node_42076,1,0.0
node_8722,node_8721,1,158.0
node_11624,node_11625,1,162.0
super_source,node_2591,1,0.0
node_17440,node_10490,1,25501.0
node_16500,node_12770,1,0.0
node_425,node_305,1,457.0
node_5527,node_6375,1,0.0
node_15667,node_15666,1,0.0
node_63,node_3647,1,0.0
node_27676,node_27677,1,106.0
node_35758,node_34073,1,0.0
node_10050,node_10051,1,1118.0
node_13736,node_13737,1,122.0
super_source,node_5954,1,0.0
super_source,node_9930,1,0.0
node_25159,node_26940,1,0.0
node_21661,node_21662,1,0.0
node_22887,node_22889,1,0.0
super_source,node_21207,1,0.0
node_30373,node_30374,1,592.0
node_2523,node_2522,1,0.0
node_10134,node_10135,1,352.0
node_3865,node_3864,1,0.0
node_1031,node_1030,1,6136.0
super_source,node_18490,1,0.0
super_source,node_10671,1,0.0
node_21982,node_22076,1,2757.0
super_source,node_8366,1,0.0
node_7927,node_7929,1,2482.0
super_source,node_38446,1,0.0
node_29180,node_29187,1,1008.0
node_42183,node_41661,1,0.0
node_35479,node_36004,1,0.0
node_14945,node_10355,1,0.0
super_source,node_26332,1,0.0
node_15241,node_15551,1,0.0
node_23500,node_23497,1,0.0
node_18860,node_21493,1,0.0
super_source,node_9163,1,0.0
super_source,node_4440,1,0.0
node_18792,node_18790,1,0.0
super_source,node_36975,1,0.0
node_17368,node_17369,1,0.0
super_source,node_11169,1,0.0
super_source,node_5160,1,0.0
super_source,node_18099,1,0.0
node_38705,node_38624,1,0.0
node_9921,node_9920,1,166.0
node_5794,node_5793,1,0.0
super_source,node_22264,1,0.0
node_21906,node_27074,1,0.0
node_10973,node_11182,1,0.0
node_32321,node_32323,1,260.0
node_35302,node_35304,1,28.0
node_4134,node_4160,1,0.0
super_source,node_28973,1,0.0
node_9995,node_9994,1,53770.0
node_18298,node_18295,1,0.0
node_34291,node_34246,1,0.0
node_42637,node_42615,1,0.0
super_source,node_4191,1,0.0
node_34284,node_34288,1,19.0
super_source,node_34026,1,0.0
super_source,node_119,1,0.0
super_source,node_21789,1,0.0
node_19434,node_19435,1,0.0
node_31659,node_31388,1,0.0
super_source,node_13296,1,0.0
node_27786,node_24540,1,17.0
node_22661,node_22664,1,0.0
node_29954,node_29952,1,0.0
node_43442,node_43757,1,0.0
super_source,node_31844,1,0.0
super_source,node_41006,1,0.0
super_source,node_9706,1,0.0
node_30426,node_30425,1,139.0
node_17745,node_17744,1,0.0
super_source,node_26974,1,0.0
super_source,node_40057,1,0.0
super_source,node_25994,1,0.0
node_28517,node_28485,1,463.0
node_7149,node_7148,1,0.0
super_source,node_23614,1,0.0
super_source,node_27629,1,0.0
super_source,node_19401,1,0.0
node_24225,node_25202,1,0.0
node_17967,node_17969,1,0.0
node_20968,node_20871,1,0.0
node_38333,node_38334,1,0.0
node_12472,node_12471,1,573.0
node_21705,node_21704,1,116.0
node_22032,node_22031,1,0.0
super_source,node_26158,1,0.0
super_source,node_29286,1,0.0
super_source,node_29588,1,0.0
node_41576,node_41572,1,0.0
node_273,node_268,1,0.0
super_source,node_24135,1,161.0
super_source,node_23894,1,0.0
super_source,node_8895,1,0.0
super_source,node_37551,1,0.0
node_23769,node_23768,1,333.0
node_35377,node_34245,1,0.0
node_21463,node_18616,1,0.0
super_source,node_35690,1,0.0
node_29516,node_28605,1,0.0
node_30701,node_32081,1,0.0
super_source,node_16164,1,0.0
node_20816,node_20815,1,0.0
node_7740,node_9026,1,257.0
node_20417,node_19689,1,0.0
super_source,node_38040,1,0.0
node_12390,node_10165,1,2175.0
node_18591,node_18589,1,0.0
node_23853,node_23852,1,0.0
node_13100,node_13101,1,100.0
node_7722,node_7723,1,294.0
node_34314,node_34316,1,0.0
node_42559,node_42552,1,0.0
node_17111,node_11010,1,0.0
node_31426,node_31698,1,1036.0
node_34962,node_35943,1,0.0
super_source,node_2882,1,0.0
super_source,node_10919,1,0.0
super_source,node_34777,1,0.0
super_source,node_14303,1,0.0
super_source,node_41614,1,0.0
node_16140,node_13581,1,479.0
node_39295,node_39298,1,0.0
node_26954,node_27039,1,312366.0
node_29970,node_29969,1,0.0
node_44006,node_44005,1,0.0
node_23624,node_23625,1,0.0
node_29490,node_29491,1,303.0
super_source,node_7121,1,0.0
node_25980,node_25984,1,2.0
super_source,node_20829,1,300.0
super_source,node_4553,1,0.0
node_13983,node_13984,1,5.0
node_10342,node_10341,1,0.0
node_28007,node_25623,1,0.0
node_21563,node_21562,1,0.0
super_source,node_38344,1,0.0
node_29833,node_29822,1,2421.0
node_33832,node_34951,1,235.0
node_30018,node_32649,1,10275.0
node_15338,node_13021,1,0.0
node_3783,node_3785,1,324.0
node_30462,node_30463,1,174.0
super_source,node_42562,1,0.0
node_19520,node_20074,1,3881.0
node_17369,node_17370,1,106.0
node_6085,node_6086,1,0.0
super_source,node_34343,1,0.0
